date, title, edition, archive, filename, search term, sequence
1771,"Encyclopaedia Britannica; or, A dictionary of arts and sciences, compiled upon a new plan","First edition, 1771, Volume 1, A-B",/home/tdm/datasets/encyclopaedia-britannica-sample/144133901,alto/188082826.34.xml,edinburgh,"['of', 'gentlemen', 'in', 'scotland', 'in', 'three', 'volume', 's', 'vol', 'i', 'edinburgh', 'printed', 'for', 'a', 'bell', 'and', 'c', 'macearquhar', 'aid', 'sold', 'by']"
1771,"Encyclopaedia Britannica; or, A dictionary of arts and sciences, compiled upon a new plan","First edition, 1771, Volume 1, A-B",/home/tdm/datasets/encyclopaedia-britannica-sample/144133901,alto/188082930.34.xml,edinburgh,"['scotland', 'situated', 'in', 'the', 'county', 'of', 'angus', 'about', 'milesnorth', 'of', 'edinburgh', 'its', 'west', 'long', 'is', 'and', 'n', 'lat', 'there', 'was', 'formerly']"
1771,"Encyclopaedia Britannica; or, A dictionary of arts and sciences, compiled upon a new plan","First edition, 1771, Volume 1, A-B",/home/tdm/datasets/encyclopaedia-britannica-sample/144133901,alto/188082943.34.xml,edinburgh,"['the', 'frith', 'of', 'forth', 'about', 'ten', 'miles', 'n', 'w', 'of', 'edinburgh', 'abergaveny', 'in', 'monmouthfhire', 'england', 'a', 'wellbuilt', 'town', 'lying', 'miles', 'w']"
1771,"Encyclopaedia Britannica; or, A dictionary of arts and sciences, compiled upon a new plan","First edition, 1771, Volume 1, A-B",/home/tdm/datasets/encyclopaedia-britannica-sample/144133901,alto/188083021.34.xml,edinburgh,"['of', 'arts', 'and', 'the', 'academy', 'of', 'painting', 'in', 'scotland', 'the', 'edinburgh', 'society', 'college', 'of', 'phylicians', 'and', 'musical', 'society', 'all', 'which', 'see']"
1771,"Encyclopaedia Britannica; or, A dictionary of arts and sciences, compiled upon a new plan","First edition, 1771, Volume 1, A-B",/home/tdm/datasets/encyclopaedia-britannica-sample/144133901,alto/188084324.34.xml,edinburgh,"['hours', 'thus', 'examp', 'iii', 'suppose', 'the', 'dillance', 'between', 'london', 'and', 'edinburgh', 'to', 'be', 'miles', 'and', 'that', 'a', 'courier', 'sets', 'out', 'from']"
1771,"Encyclopaedia Britannica; or, A dictionary of arts and sciences, compiled upon a new plan","First edition, 1771, Volume 1, A-B",/home/tdm/datasets/encyclopaedia-britannica-sample/144133901,alto/188084324.34.xml,edinburgh,"['to', 'be', 'miles', 'and', 'that', 'a', 'courier', 'sets', 'out', 'from', 'edinburgh', 'running', 'at', 'the', 'rate', 'of', 'miles', 'an', 'hour', 'another', 'sets']"
1771,"Encyclopaedia Britannica; or, A dictionary of arts and sciences, compiled upon a new plan","First edition, 1771, Volume 1, A-B",/home/tdm/datasets/encyclopaedia-britannica-sample/144133901,alto/188084324.34.xml,edinburgh,"['they', 'will', 'meet', 'suppose', 'the', 'courier', 'that', 'sets', 'out', 'from', 'edinburgh', 'runs', 'x', 'miles', 'and', 'the', 'other', 'y', 'miles', 'before', 'they']"
1771,"Encyclopaedia Britannica; or, A dictionary of arts and sciences, compiled upon a new plan","First edition, 1771, Volume 1, A-B",/home/tdm/datasets/encyclopaedia-britannica-sample/144133901,alto/188084974.34.xml,edinburgh,"['these', 'four', 'years', 'the', 'anabaptifts', 'have', 'formed', 'a', 'congregation', 'in', 'edinburgh', 'which', 'is', 'the', 'first', 'appearance', 'they', 'ever', 'made', 'in', 'scotland']"
1771,"Encyclopaedia Britannica; or, A dictionary of arts and sciences, compiled upon a new plan","First edition, 1771, Volume 1, A-B",/home/tdm/datasets/encyclopaedia-britannica-sample/144133901,alto/188084974.34.xml,edinburgh,"['swe', 'applied', 'to', 'the', 'preachers', 'of', 'the', 'anabaptijl', 'congregation', 'at', 'edinburgh', 'from', 'whom', 'we', 'had', 'the', 'above', 'account', 'the', 'same', 'conduit']"
1771,"Encyclopaedia Britannica; or, A dictionary of arts and sciences, compiled upon a new plan","First edition, 1771, Volume 1, A-B",/home/tdm/datasets/encyclopaedia-britannica-sample/144133901,alto/188085052.34.xml,edinburgh,"['in', 'dudding', 'itonloch', 'a', 'freihwater', 'lake', 'within', 'a', 'mile', 'of', 'edinburgh', 'the', 'hiftrionica', 'or', 'duikyspotted', 'duck', 'of', 'edwards', 'is', 'of', 'a']"
1771,"Encyclopaedia Britannica; or, A dictionary of arts and sciences, compiled upon a new plan","First edition, 1771, Volume 1, A-B",/home/tdm/datasets/encyclopaedia-britannica-sample/144133901,alto/188087379.34.xml,edinburgh,"['alexander', 'monro', 'present', 'professor', 'of', 'anatofhy', 'in', 'the', 'university', 'of', 'edinburgh', 'published', 'his', 'treatise', 'de', 'venis', 'lymphaticis', 'valvulofis', 'in', 'the', 'year']"
1771,"Encyclopaedia Britannica; or, A dictionary of arts and sciences, compiled upon a new plan","First edition, 1771, Volume 1, A-B",/home/tdm/datasets/encyclopaedia-britannica-sample/144133901,alto/188087418.34.xml,edinburgh,"['long', 'j', 'and', 'n', 'lat', 'about', 'miles', 'n', 'e', 'of', 'edinburgh', 'st', 'andrews', 'was', 'formerly', 'an', 'archbifliops', 'see', 'but', 'at', 'present']"
1771,"Encyclopaedia Britannica; or, A dictionary of arts and sciences, compiled upon a new plan","First edition, 1771, Volume 1, A-B",/home/tdm/datasets/encyclopaedia-britannica-sample/144133901,alto/188091162.34.xml,edinburgh,"['entrance', 'of', 'the', 'frith', 'of', 'forth', 'about', 'miles', 'east', 'of', 'edinburgh', 'in', 'ifw', 'long', 'and', 'n', 'lat', 'beryl', 'in', 'natural', 'history']"
1771,"Encyclopaedia Britannica; or, A dictionary of arts and sciences, compiled upon a new plan","First edition, 1771, Volume 1, A-B",/home/tdm/datasets/encyclopaedia-britannica-sample/144133901,alto/188091994.34.xml,edinburgh,"['i', 'w', 'a', 's', 't', 'e', 'b', 'o', 'o', 'k', 'edinburgh', 'the', 'ill', 'of', 'january', 'i', 'inventory', 'of', 'the', 'money', 'goods']"
1771,"Encyclopaedia Britannica; or, A dictionary of arts and sciences, compiled upon a new plan","First edition, 1771, Volume 1, A-B",/home/tdm/datasets/encyclopaedia-britannica-sample/144133901,alto/188092072.34.xml,edinburgh,"['r', 'b', 'o', 'o', 'k', 'k', 'e', 'journal', 'edinburgh', 'the', 'ill', 'of', 'january', 'sundries', 'drs', 'to', 'stock', 'cajh', 'for']"
